{U+4F60} 你 祢
{U+554A} 啊 姶
{U+55CE} 嗎 乕
{U+5427} 吧 叺
{U+840A} 萊 倏
{U+5462} 呢 咾
{U+2014} — 冐
{U+72C0} 狀 戝
{U+5979} 她 扈
{U+5920} 夠 滷
{U+54CE} 哎 嚔
{U+5167} 內 漓
{U+6A94} 檔 漾
{U+60A8} 您 嚀
{U+64CA} 擊 潘
{U+6C89} 沉 汢
{U+5582} 喂 喟
{U+4F15} 伕 潦
{U+00B7} · 潭
{U+76D4} 盔 橿
{U+78B0} 碰 矼
{U+8FA6} 辦 潯
{U+9AB7} 骷 潴
{U+563F} 嘿 囀
{U+4F19} 伙 潸
{U+4F48} 佈 潺
{U+50A2} 傢 潼
{U+9B0D} 鬍 澀
{U+8D95} 趕 澁
{U+54EA} 哪 嗾
{U+555F} 啟 澂
{U+773E} 眾 澆
{U+55EF} 嗯 哘
{U+64CB} 擋 澑
{U+79B1} 禱 澡
{U+865B} 虛 澣
{U+9336} 錶 澤
{U+812B} 脫 澪
{U+4EFD} 份 侘
{U+5509} 唉 啣
{U+9432} 鐲 澳
{U+5FB5} 徵 澹
{U+6BAD} 殭 濂
{U+7130} 焰 濆
{U+6EAB} 溫 濔
{U+8DD1} 跑 銕
{U+53E6} 另 勗
{U+6B77} 歷 濕
{U+8E29} 踩 濘
{U+503C} 值 濛
{U+50F1} 僱 濟
{U+5361} 卡 濬
{U+55B5} 喵 囎
{U+5B7F} 孿 濮
{U+61C2} 懂 悁
{U+6231} 戱 濱
{U+95C6} 闆 濳
{U+525D} 剝 濶
{U+5566} 啦 啀
{U+55B2} 喲 濺
{U+71A0} 熠 焜
{U+7238} 爸 覗
{U+9304} 錄 濾
{U+942E} 鐮 瀁
{U+4E1F} 丟 瀉
{U+5601} 嘁 囑
{U+6236} 戶 瀋
{U+6254} 扔 扨
{U+62D6} 拖 扠
{U+6316} 挖 窪
{U+6454} 摔 拵
{U+64BF} 撿 瀏
{U+6A5B} 橛 杁
{U+7522} 產 瀘
{U+775C} 睜 瀚
{U+8173} 腳 瀛
{U+8C93} 貓 瀝
{U+54FC} 哼 嚊
{U+5669} 噩 瀟
{U+5B7D} 孽 芟
{U+5C62} 屢 瀲
{U+60CB} 惋 怜
{U+626F} 扯 抃
{U+62FC} 拼 絣
{U+6C59} 汙 瀾
{U+70E4} 烤 烱
{U+780D} 砍 砠
{U+7838} 砸 碆
{U+7CD9} 糙 籵
{U+4F54} 佔 灣
{U+4FCF} 俏 佶
{U+5077} 偷 炒
{U+50BB} 傻 僊
{U+5501} 唁 呰
{U+55DD} 嗝 啻
{U+55E6} 嗦 炙
{U+5607} 嘇 炬
{U+5662} 噢 啝
{U+56C9} 囉 炮
{U+626D} 扭 扞
{U+634E} 捎 挌
{U+641E} 搞 抂
{U+66EC} 曬 炯
{U+67E5} 查 炳
{U+6B72} 歲 烋
{U+6D89} 涉 烝
{U+7529} 甩 抔
{U+75E0} 痠 烟
{U+7CD5} 糕 糢
{U+7E6B} 繫 烽
{U+8783} 螃 蚋
{U+881F} 蠟 焉
{U+8AAA} 說 焙
{U+8B0A} 謊 煕
{U+8EBA} 躺 躰
{U+92B3} 銳 煖
{U+59AE} 妮 煢
{U+8611} 蘑 煥
{U+9472} 鑲 煦
{U+9EB5} 麵 煬
{U+9EC3} 黃 熄
{U+59EC} 姬 熈
{U+5FB7} 德 熏
{U+9AD4} 體 熕
{U+9EDE} 點 熨
{U+9B25} 鬥 熹
{U+9ACF} 髏 熾
{U+6A6B} 橫 燉
{U+6085} 悅 燎
{U+53B2} 厲 燔
{U+9A19} 騙 燗
{U+589E} 增 燠
{U+9918} 餘 燧
{U+9952} 饒 燬
{U+9A45} 驅 燵
{U+9ED1} 黑 燹
{U+9A57} 驗 燻
{U+9D09} 鴉 燿
{U+51DC} 凜 爨
{U+9A55} 驕 爰
{U+9A5F} 驟 爲
{U+9ECF} 黏 爻
{U+9EA5} 麥 爼
{U+6F88} 澈 爿
{U+9B44} 魄 牀
{U+98C4} 飄 牋
{U+7DA0} 綠 牘
{U+9B1A} 鬚 牴
{U+9871} 顱 牾
{U+70AB} 炫 犁
{U+9F52} 齒 犂
{U+9059} 遙 犇
{U+7D48} 絈 犒
{U+6673} 晳 犖
{U+9AE6} 髦 犢
{U+5E6B} 幫 犧
{U+9109} 鄉 犲
{U+7D55} 絕 犹
{U+665A} 晚 丨
{U+6B65} 步 仡
{U+5DE2} 巢 仼
{U+4EFF} 仿 伀
{U+6BCF} 每 伃
{U+7DE3} 緣 伹
{U+96DE} 雞 佖
{U+91AC} 醬 侊
